#SKILL
Name         reserved~
Type         Spell
Info         0
Flags        0
Minpos       112
Slot         95
Dammsg       ~
Wearoff      ???~
Stat1	0
Stat2	0
Talent	0 1001
Talent	1 1001
Talent	2 1001
Talent	3 1001
Talent	4 1001
Talent	5 1001
Talent	6 1001
Talent	7 1001
Talent	8 1001
Talent	9 1001
Talent	10 1001
Talent	11 1001
Talent	12 1001
Talent	13 1001
Talent	14 1001
Talent	15 1001
Talent	16 1001
Talent	17 1001
Race	0 3
Race	1 3
Race	2 3
Race	3 3
Race	4 3
Race	5 3
Race	6 3
Race	7 3
Race	8 3
Race	9 3
Race	10 3
Race	11 3
Race	12 3
Race	13 3
Race	14 3
Race	15 3
Race	16 3
Race	17 3
Race	18 3
Race	19 3
Race	20 3
Race	21 3
Race	22 3
Race	23 3
Race	24 3
Race	25 3
Race	26 3
Race	27 3
Race	28 3
Race	29 3
Race	30 3
Race	31 3
Race	32 3
Race	33 3
Race	34 3
Race	35 3
Race	36 3
Race	37 3
Race	38 3
Race	39 3
End

#SKILL
Name         berserk~
Type         unknown
Info         0
Flags        0
Code         spell_smaug
Dammsg       ~
Stat1	0
Stat2	0
Talent	0 1001
Talent	1 1001
Talent	2 1001
Talent	3 1001
Talent	4 1001
Talent	5 1001
Talent	6 1001
Talent	7 1001
Talent	8 1001
Talent	9 1001
Talent	10 1001
Talent	11 1001
Talent	12 1001
Talent	13 1001
Talent	14 1001
Talent	15 1001
Talent	16 1001
Talent	17 1001
Race	0 3
Race	1 3
Race	2 3
Race	3 3
Race	4 3
Race	5 3
Race	6 3
Race	7 3
Race	8 3
Race	9 3
Race	10 3
Race	11 3
Race	12 3
Race	13 3
Race	14 3
Race	15 3
Race	16 3
Race	17 3
Race	18 3
Race	19 3
Race	20 3
Race	21 3
Race	22 3
Race	23 3
Race	24 3
Race	25 3
Race	26 3
Race	27 3
Race	28 3
Race	29 3
Race	30 3
Race	31 3
Race	32 3
Race	33 3
Race	34 3
Race	35 3
Race	36 3
Race	37 3
Race	38 3
Race	39 3
End

#SKILL
Name         nothing~
Type         unknown
Info         0
Flags        0
Minpos       195
Slot         95
Code         spell_smaug
Dammsg       ~
Stat1	0
Stat2	0
Talent	0 1001
Talent	1 1001
Talent	2 1001
Talent	3 1001
