#MOBILE
Vnum	1
Room	2
Gold 10000
Flags 71303171
AttrPerm     13 13 13 13 13 13 13
Part	0
EndMobile

#MOBILE
Vnum	2
Room	6
Gold 10000
Flags 71303171
AttrPerm     1 1 1 1 1 100 100
Part	0
EndMobile

#MOBILE
Vnum	1
Room	2
Gold 10000
Flags 71303171
AttrPerm     13 13 13 13 13 13 13
Part	0
EndMobile

#MOBILE
Vnum	2
Room	6
Gold 10000
Flags 71303171
AttrPerm     1 1 1 1 1 100 100
Part	0
EndMobile

#MOBILE
Vnum	1
Room	2
Gold 10000
Flags 71303171
AttrPerm     13 13 13 13 13 13 13
Part	0
EndMobile

#MOBILE
Vnum	2
Room	6
Gold 10000
Flags 71303171
AttrPerm     1 1 1 1 1 100 100
Part	0
EndMobile

#MOBILE
Vnum	1
Room	2
Gold 10000
Flags 71303171
AttrPerm     13 13 13 13 13 13 13
Part	0
EndMobile

#MOBILE
Vnum	2
Room	6
Gold 10000
Flags 71303171
AttrPerm     1 1 1 1 1 100 100
Part	0
EndMobile

#MOBILE
Vnum	1
Room	2
Gold 10000
Flags 71303171
AttrPerm     13 13 13 13 13 13 13
Part	0
EndMobile

#MOBILE
Vnum	2
Room	6
Gold 10000
Flags 71303171
AttrPerm     1 1 1 1 1 100 100
Part	0
EndMobile

#MOBILE
Vnum	1
Room	2
Gold 10000
Flags 71303171
AttrPerm     13 13 13 13 13 13 13
Part	0
EndMobile

#MOBILE
Vnum	2
Room	6
Gold 10000
Flags 71303171
AttrPerm     1 1 1 1 1 100 100
Part	0
EndMobile

#MOBILE
Vnum	1
Room	2
Gold 10000
Flags 71303171
AttrPerm     13 13 13 13 13 13 13
Part	0
EndMobile

#MOBILE
Vnum	2
Room	6
Gold 10000
Flags 71303171
AttrPerm     1 1 1 1 1 100 100
Part	0
EndMobile

#MOBILE
Vnum	1
Room	2
Gold 10000
Flags 71303171
AttrPerm     13 13 13 13 13 13 13
Part	0
EndMobile

#MOBILE
Vnum	2
Room	6
Gold 10000
Flags 71303171
AttrPerm     1 1 1 1 1 100 100
Part	0
EndMobile

#MOBILE
Vnum	1
Room	2
Gold 10000
Flags 71303171
AttrPerm     13 13 13 13 13 13 13
Part	0
EndMobile

#MOBILE
Vnum	2
Room	6
Gold 10000
Flags 71303171
AttrPerm     1 1 1 1 1 100 100
Part	0
EndMobile

#MOBILE
Vnum	1
Room	2
Gold 10000
Flags 71303171
AttrPerm     13 13 13 13 13 13 13
Part	0
EndMobile

#MOBILE
Vnum	2
Room	6
Gold 10000
Flags 71303171
AttrPerm     1 1 1 1 1 100 100
Part	0
EndMobile

#MOBILE
Vnum	1
Room	2
Gold 10000
Flags 71303171
AttrPerm     13 13 13 13 13 13 13
Part	0
EndMobile

#MOBILE
Vnum	2
Room	6
Gold 10000
Flags 71303171
AttrPerm     1 1 1 1 1 100 100
Part	0
EndMobile

#MOBILE
Vnum	1
Room	2
Gold 10000
Flags 71303171
AttrPerm     13 13 13 13 13 13 13
Part	0
EndMobile

#MOBILE
Vnum	2
Room	6
Gold 10000
Flags 71303171
AttrPerm     1 1 1 1 1 100 100
Part	0
EndMobile

#MOBILE
Vnum	1
Room	2
Gold 10000
Flags 71303171
AttrPerm     13 13 13 13 13 13 13
Part	0
EndMobile

#MOBILE
Vnum	2
Room	6
Gold 10000
Flags 71303171
AttrPerm     1 1 1 1 1 100 100
Part	0
EndMobile

#MOBILE
Vnum	1
Room	2
Gold 10000
Flags 71303171
AttrPerm     13 13 13 13 13 13 13
Part	0
EndMobile

#MOBILE
Vnum	2
Room	6
Gold 10000
Flags 71303171
AttrPerm     1 1 1 1 1 100 100
Part	0
EndMobile

#MOBILE
Vnum	1
Room	2
Gold 10000
Flags 71303171
AttrPerm     13 13 13 13 13 13 13
Part	0
EndMobile

#MOBILE
Vnum	2
Room	6
Gold 10000
Flags 71303171
AttrPerm     1 1 1 1 1 100 100
Part	0
EndMobile

#MOBILE
Vnum	1
Room	2
Gold 10000
Flags 71303171
AttrPerm     13 13 13 13 13 13 13
Part	0
EndMobile

#MOBILE
Vnum	2
Room	6
Gold 10000
Flags 71303171
AttrPerm     1 1 1 1 1 100 100
Part	0
EndMobile

#MOBILE
Vnum	1
Room	2
Gold 10000
Flags 71303171
AttrPerm     13 13 13 13 13 13 13
Part	0
EndMobile

#MOBILE
Vnum	2
Room	6
Gold 10000
Flags 71303171
AttrPerm     1 1 1 1 1 100 100
Part	0
EndMobile

#MOBILE
Vnum	1
Room	2
Gold 10000
Flags 71303171
AttrPerm     13 13 13 13 13 13 13
Part	0
EndMobile

#MOBILE
Vnum	2
Room	6
Gold 10000
Flags 71303171
AttrPerm     1 1 1 1 1 100 100
Part	0
EndMobile

#MOBILE
Vnum	1
Room	2
Gold 10000
Flags 71303171
AttrPerm     13 13 13 13 13 13 13
Part	0
EndMobile

#MOBILE
Vnum	2
Room	6
Gold 10000
Flags 71303171
AttrPerm     1 1 1 1 1 100 100
Part	0
EndMobile

#MOBILE
Vnum	1
Room	2
Gold 10000
Flags 71303171
AttrPerm     13 13 13 13 13 13 13
Part	0
EndMobile

#MOBILE
Vnum	2
Room	6
Gold 10000
Flags 71303171
AttrPerm     1 1 1 1 1 100 100
Part	0
EndMobile

#MOBILE
Vnum	1
Room	2
Gold 10000
Flags 71303171
AttrPerm     13 13 13 13 13 13 13
Part	0
EndMobile

#MOBILE
Vnum	2
Room	6
Gold 10000
Flags 71303171
AttrPerm     1 1 1 1 1 100 100
Part	0
EndMobile

#MOBILE
Vnum	20000
Room	20000
Name     Izeche wizard nexus~
Short	Wizard Izeche~
Gold 0
Flags 71303171
AttrPerm     100 100 1000 100 100 100 100
Part	2047
EndMobile

#MOBILE
Vnum	17012
Room	20025
Name     Maabinozheichi teacher~
Short	Maabinozheichi the teacher~
Gold 0
Flags 72352771
AttrPerm     23 23 23 23 23 23 23
Part	0
EndMobile

#MOBILE
Vnum	17004
Room	20026
Name     Ithon cleric~
Short	Ithon the cleric~
Gold 0
Flags 72352771
